fecha_de_publicacion,titulo
2 de Octubre de 2020,Guía de lanzamientos octubre 2020
,¡Bienvenidos a IGN Latinoamérica!
,PlayStation 4: Sony dice que aún le queda mucha vida a la consola
,Spider-Man: Miles Morales - el origen del traje del héroe fue revelado hace 2 años y nadie se dio cuenta
,Left 4 Dead: así se vería su secuela espiritual
,PlayStation 4: usuarios firman petición para eliminar los juegos gratis de PS Plus de este mes
,"Spider-Man: Miles Morales no es un juego entero, sólo una expansión"
,Resident Evil Village si llegaría a ps4 y xbox one de acuerdo al creador
,PlayStation 4: los mejores descuentos de Days of Play 2020
,"Cyberpunk 2077 llegaría a PS5 y Xbox Series X con una actualización gratuita ""más robusta"""
11 de Junio de 2020,Gran Turismo 7 - Tráiler de presentación y gameplay | Evento de PS5
,Disintegration - Review
3 de Febrero de 2020,Guía de lanzamientos febrero 2020
,"Comic-Con: estos son los ganadores de los Premios Eisner, el Óscar del mundo de los cómics"
,Dragon Ball revela oficialmente una nueva forma del Super Saiyajin 4
,"PlayStation 5: medios y YouTubers de Japón muestran detalles de la consola, el DualSense y los juegos"
,PlayStation 5: se aclaran los rumores sobre los problemas con la resolución 4K
,Ubisoft no aumentaría los precios de sus juegos en PS5 y Xbox Series X
,"Euforia, nervios y diversión se viven en el IGN Tournament"
,"PlayStation tendrá un documental que incluirá entrevistas con Hideo Kojima, Mark Cerny y más creativos"
,Marvel Comics continúa la historia del juego de Spider-Man de Insomniac
,Estos son los mejores monitores de gaming que existen actualmente
,"PlayStation: Days of Play 2020 ofrece grandes ofertas en juegos, membresías, accesorios y más"
,Spider-Man: Miles Morales - el origen del traje del héroe fue revelado hace 2 años y nadie se dio cuenta
,Resident Evil 8: su desarrollo está completado en un 60 por ciento
,God of War: Cory Barlog confirma que el cristianismo es parte de este mundo
,Cyberpunk 2077: Night City Wire Episode 3 Coming Next Week
11 de Junio de 2020,Hitman III - Trailer de anuncio
15 de Enero de 2020,Disintegration: 7 minutos del gameplay del modo Control - IGN First
3 de Diciembre de 2019,Guía de lanzamientos diciembre 2019
,"Coronavirus: Diamond Comics no volvería a funcionar hasta agosto, ¿qué significa esto para la industria del cómic?"
,Dragon Ball: estas son todas las transformaciones no oficiales de los Saiyajin
,PlayStation 5: Sony confirmó que sí puedes usar los discos de PS4
,"PlayStation 5: medios y YouTubers de Japón muestran detalles de la consola, el DualSense y los juegos"
,Ubisoft anuncia su propio evento de revelaciones estilo E3
,"PlayStation 4 tiene descuentos en Resident Evil 3, Star Wars Jedi Fallen Order, RDR 2 y más"
,Spider-Man de PS4 recibe su propio cómic de Marvel
,Xbox Series X y PlayStation 5: estas son todas las novedades que presentan las nuevas consolas
,PlayStation Store tiene descuentos dobles para suscriptores de PS Plus
,PlayStation 5: Sony atrasó el evento de presentación
,Resident Evil Village si llegaría a ps4 y xbox one de acuerdo al creador
,PlayStation 4: los mejores descuentos de Days of Play 2020
,Cyberpunk 2077: CD Projekt Red aclara rumores acerca del tamaño del juego
11 de Julio de 2020,UFC 4 - Tráiler de presentación
23 de Septiembre de 2020,Call of Duty: Modern Warfare & Warzone - Season Six Cinematic Trailer
,"Comic-Con: estos son los ganadores de los Premios Eisner, el Óscar del mundo de los cómics"
,Dragon Ball: ¿qué hacen los personajes cuando no están peleando? Akira Toriyama lo reveló
,Dragon Ball: estos son todos los tipos de Ki que existen según Toriyama
,Ubisoft no aumentaría los precios de sus juegos en PS5 y Xbox Series X
,Summer of Gaming: ¿qué es el evento de IGN que sustituirá a E3?
,PlayStation tendrá su propio Game Pass
,Assassin's Creed Origins - Review
,Xbox Series S no aplicará las mejoras de Xbox One X para los juegos retrocompatibles
2 de Enero de 2020,Guía de lanzamientos enero 2020
23 de Septiembre de 2020,The Haunting of Bly Manor - Official Trailer
8 de Enero de 2020,Disintegration: 32 Minutes of Story Mission Gameplay - IGN First
,Dragon Ball: Kame House existe en la vida real y puedes visitarla
,Dragon Ball: ¿por qué los villanos pueden conservar su cuerpo en el infierno?
20 de Enero de 2020,Disintegration - Technical Beta Trailer
22 de Enero de 2020,Trailer de Fairy Tail - Tour of Magnolia
24 de Enero de 2020,Mira el gameplay de un partido completo en Captain Tsubasa: Rise of New Champions
11 de Febrero de 2020,Trailer de revelación del gameplay de Outriders en 4K
,Assassin's Creed: Ubisoft se enfocará en Origins en lugar de otra entrega
,Xbox: rumor asegura que Microsoft también compraría SEGA
,Xbox: rumor asegura que Microsoft también compraría SEGA
17 de Septiembre de 2020,Disgaea 6: Defiance of Destiny - Announcement Trailer
17 de Septiembre de 2020,Empire of Sin Gameplay Demo Trailer
,Dragon Ball: AF plantea que un hijo de Freezer sería aún más peligroso
,Dragon Ball: estos son todos los tipos de Ki que existen según Toriyama
,Dragon Ball: estos son los episodios perdidos que casi nadie conoce
20 de Septiembre de 2020,Cyberpunk 2077 - Night City Wire: Episode 3
,Se retrasa Far Cry 5 y The Crew 2
,"Xbox compró Bethesda, ZeniMax Media, y todas sus propiedades"
,"Xbox compró Bethesda, ZeniMax Media, y todas sus propiedades"
,Dragon Ball: Kame House existe en la vida real y puedes visitarla
,Dragon Ball AF: cinco cosas que Super mantuvo
,Dragon Ball: ¿por qué los villanos pueden conservar su cuerpo en el infierno?
,Dragon Ball Super: ¿cuál era el nombre original que Vegeta pensó para su hija?
,Dragon Ball Z: existió otro Trunks además del hijo de Vegeta
,Dragon Ball Super: un fanático hizo la saga de Moro en anime y podría ser mejor que la versión de Toei
21 de Septiembre de 2020,Immortals Fenyx Rising: A Tour of the Golden Isle - IGN First
,Far Cry: habrá un nuevo juego
,Far Cry: habrá un nuevo juego
,Far Cry 6: filtración confirma a Giancarlo Esposito como villano y revela fecha de lanzamiento
,Far Cry 6: filtración confirma a Giancarlo Esposito como villano y revela fecha de lanzamiento
,Far Cry 6: ¿en qué revolución está inspirado el nuevo juego de Ubisoft?
,Far Cry 6: ¿en qué revolución está inspirado el nuevo juego de Ubisoft?
,Dragon Ball: AF plantea que un hijo de Freezer sería aún más peligroso
,Dragon Ball Super capítulo 64: ¿qué significa el mal presentimiento que tiene Bills?
,Dragon Ball Super capítulo 64: ¿qué significa el mal presentimiento que tiene Bills?
,Dragon Ball: alguien más es capaz de utilizar el Ultra Instinto
,Dragon Ball: así cambiaría la serie si Gohan hubiera sido el protagonista
,Dragon Ball Super: ¿cuál era el nombre original que Vegeta pensó para su hija?
,Dragon Ball: estos son los episodios perdidos que casi nadie conoce
,Dragon Ball Super: estos son los primeros spoilers del capítulo 63 del manga
28 de Agosto de 2018,"Los primeros 17 minutos del nuevo DLC de Far Cry 5, Dead Living Zombies"
,Assassin's Creed: Valhalla - esta sería su fecha de lanzamiento
,Far Cry 6: Giancarlo Esposito de Breaking Bad protagonizaría el juego
,Anunciada la fecha de lanzamiento y los primeros detalles de Far Cry 5
28 de Agosto de 2018,"Los primeros 17 minutos del nuevo DLC de Far Cry 5, Dead Living Zombies"
